Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904204685,0,39,2,42
1764904204728,0,40,2,43
1764904204771,0,39,2,43
1764904204816,0,40,3,44
1764904204858,0,38,2,42
1764904204901,0,40,2,43
1764904204945,0,39,2,43
1764904204988,0,39,2,42
1764904205031,0,39,2,43
1764904205076,0,40,2,44
1764904205118,0,37,2,41
1764904205161,0,39,2,43
1764904205204,0,39,2,42
1764904205248,0,39,2,43
1764904205291,0,39,2,43
1764904205334,0,38,2,41
1764904205377,0,40,2,43
1764904205421,0,39,2,43
1764904205469,0,42,4,47
1764904205524,0,43,7,51
1764904205561,0,27,7,35
1764904205606,0,33,7,41
1764904205647,0,28,3,32
1764904205689,0,38,2,42
1764904205732,0,39,2,43
1764904205775,0,39,2,42
1764904205819,0,40,2,43
1764904205862,0,39,2,42
1764904205905,0,39,2,43
1764904205949,0,39,2,43
1764904205994,0,38,3,43
1764904206035,0,37,2,40
1764904206079,0,40,3,44
1764904206122,0,38,2,42
1764904206165,0,39,2,43
1764904206209,0,37,3,42
1764904206255,3,36,6,46
1764904206295,0,35,3,39
1764904206339,1,38,3,43
1764904206383,0,38,4,43
1764904206425,0,37,3,41
1764904206468,0,38,3,42
1764904206511,0,39,2,42
1764904206554,0,39,2,42
1764904206597,0,40,2,43
1764904206640,0,39,2,43
1764904206684,0,39,2,43
1764904206727,0,39,2,42
1764904206771,0,40,3,44
1764904206813,0,37,2,41
1764904206858,0,40,3,44
1764904206900,0,37,2,40
1764904206943,0,40,2,43
1764904206987,0,40,2,43
1764904207030,0,39,2,43
1764904207073,0,39,3,42
1764904207117,0,38,3,43
1764904207161,0,38,3,43
1764904207203,0,36,3,40
1764904207247,0,39,3,43
1764904207290,0,37,3,41
1764904207334,0,39,2,43
1764904207376,0,38,2,42
1764904207420,0,39,2,43
1764904207463,1,39,2,43
1764904207509,0,39,5,45
1764904207550,2,35,3,40
1764904207596,0,40,3,45
1764904207636,0,36,2,39
1764904207681,0,40,2,44
1764904207722,0,35,2,39
1764904207765,0,39,2,43
1764904207809,0,39,2,43
1764904207856,0,39,6,47
1764904207895,0,35,2,38
1764904207939,0,38,2,42
1764904207982,0,39,2,43
1764904208025,0,39,2,43
1764904208068,0,39,2,43
1764904208112,0,40,2,43
1764904208155,0,39,2,42
1764904208198,0,40,2,43
1764904208241,0,39,2,42
1764904208285,0,40,2,43
1764904208328,0,39,2,42
1764904208371,0,40,2,43
1764904208414,0,40,2,43
1764904208458,0,40,2,43
1764904208501,0,40,2,43
1764904208544,0,39,2,42
1764904208588,0,39,2,43
1764904208631,0,39,2,43
1764904208674,0,39,2,42
1764904208717,0,39,2,43
1764904208760,0,39,2,42
1764904208803,0,39,2,43
1764904208847,0,40,2,43
1764904208890,0,39,2,42
1764904208935,0,41,2,45
1764904208977,0,37,2,41
1764904209023,0,40,5,46
1764904209063,0,36,2,39
1764904209107,1,39,2,43
1764904209150,0,39,2,42
1764904209193,0,38,2,42
1764904209236,0,39,2,42
1764904209280,0,39,2,43
1764904209323,0,39,2,42
1764904209366,0,39,2,43
1764904209410,0,39,2,43
1764904209452,0,39,2,42
1764904209496,0,39,2,43
1764904209539,0,39,2,42
1764904209582Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904394806,0,48,6,55
1764904394854,0,43,3,47
1764904394903,1,31,12,46
1764904394953,2,38,6,47
1764904394994,0,35,3,40
1764904395041,0,39,5,46
1764904395088,0,37,8,46
1764904395135,0,32,13,47
1764904395176,0,26,7,35
1764904395222,0,33,10,44
1764904395258,2,30,3,35
1764904395302,0,40,2,43
1764904395350,0,42,5,48
1764904395396,2,40,2,45
1764904395433,0,32,3,36
1764904395476,0,39,3,43
1764904395523,0,39,6,46
1764904395562,2,34,2,38
1764904395608,0,40,2,43
1764904395651,0,37,3,42
1764904395694,0,39,3,43
1764904395736,0,36,2,40
1764904395779,0,39,2,43
1764904395825,0,39,5,45
1764904395865,0,35,2,38
1764904395909,0,39,2,43
1764904395952,0,39,2,43
1764904395995,0,39,2,42
1764904396039,0,39,3,43
1764904396082,0,38,3,42
1764904396127,1,39,3,44
1764904396168,0,37,2,41
1764904396212,0,37,2,40
1764904396257,0,41,2,44
1764904396299,0,38,3,42
1764904396341,0,38,2,42
1764904396386,0,38,4,43
1764904396428,0,37,3,41
1764904396471,0,39,2,42
1764904396515,0,40,2,43
1764904396557,0,39,2,42
1764904396601,0,40,2,43
1764904396644,0,39,2,42
1764904396687,2,37,2,43
1764904396730,0,38,2,41
1764904396774,0,39,2,43
1764904396818,0,39,3,44
1764904396861,0,38,3,42
1764904396905,0,38,3,43
1764904396950,0,38,4,43
1764904396990,0,36,2,39
1764904397034,0,39,2,43
1764904397077,0,39,2,42
1764904397120,0,39,2,43
1764904397165,2,37,3,44
1764904397206,2,36,2,41
1764904397250,0,40,2,43
1764904397293,0,39,2,43
1764904397336,0,39,2,42
1764904397381,0,40,3,44
1764904397425,0,38,4,43
1764904397467,0,36,3,40
1764904397511,0,38,3,42
1764904397553,0,38,2,41
1764904397597,1,38,4,43
1764904397640,0,38,3,42
1764904397683,0,39,3,43
1764904397727,1,39,3,43
1764904397770,0,38,3,42
1764904397813,0,38,3,42
1764904397857,2,39,2,43
1764904397900,0,38,2,42
1764904397942,0,38,2,41
1764904397986,0,39,2,43
1764904398029,0,40,2,43
1764904398072,0,37,2,40
1764904398115,0,36,2,40
1764904398158,0,39,2,43
1764904398202,0,39,2,43
1764904398245,0,39,2,42
1764904398289,0,40,3,43
1764904398331,0,38,2,41
1764904398374,0,39,2,42
1764904398418,0,40,2,43
1764904398463,0,39,3,44
1764904398504,0,37,2,41
1764904398565,0,50,7,58
1764904398603,0,31,4,37
1764904398643,0,30,2,34
1764904398700,0,31,11,43
1764904398741,0,34,5,40
1764904398780,0,31,4,37
1764904398821,0,36,2,40
1764904398864,0,39,2,43
1764904398908,0,39,3,43
1764904398950,0,39,2,42
1764904398994,1,37,2,42
1764904399038,0,39,3,43
1764904399080,0,38,2,42
1764904399126,0,41,3,45
1764904399168,0,37,3,42
1764904399210,0,38,2,41
1764904399254,0,39,2,43
1764904399297,0,39,3,42
1764904399340,0,39,2,42
1764904399383,0,38,2,41
1764904399429,0,40,4,45
1764904399469,0,37,2,40
1764904399513,0,40,2,43
1764904399556,0,39,2,42
1764904399599,0,39,2,43
1764904399642,0,39,2,42
1764904399688,2,39,3,45
1764904399731,2,36,4,42
1764904399772,0,38,2,41
1764904399818,0,41,2,45
1764904399859,0,35,3,39
1764904399903,1,38,2,42
1764904399946,0,38,2,42
1764904399990,0,39,3,43
1764904400033,0,39,2,42
1764904400076,1,37,3,42
1764904400119,1,37,2,42
